8,130,103
13,231,103
16,292,103
25,508,103
8,152,108
14,296,108
17,363,108
25,613,108
26,839,108
5,63,114
10,153,114
15,336,114
20,459,114
26,832,114
9,158,146
13,288,146
17,450,146
25,774,146
27,1063,146
7,124,127
11,207,127
16,443,127
22,651,127
7,106,129
14,203,129
18,437,129
25,642,129
26,854,129
8,152,140
12,231,140
17,521,140
25,750,140
7,89,111
12,205,111
18,341,111
25,531,111
6,105,149
12,220,149
19,459,149
26,868,149
6,73,118
12,255,118
17,425,118
23,549,118
6,105,118
13,249,118
18,471,118
26,723,118
6,69,118
13,169,118
16,279,118
21,371,118
7,152,118
13,231,118
17,434,118
25,628,118
8,145,118
14,273,118
17,406,118
24,594,118
7,142,118
13,268,118
17,444,118
24,609,118
9,148,118
15,252,118
19,563,118
26,728,118
8,147,118
13,239,118
18,471,118
25,683,118
6,108,118
12,175,118
18,413,118
25,612,118
8,170,118
14,324,118
18,569,118
25,823,118
9,159,118
14,286,118
20,491,118
26,750,118
9,139,118
13,232,118
16,381,118
22,482,118
9,141,118
14,276,118
18,477,118
25,623,118
10,196,118
14,304,118
20,506,118
26,666,118
7,148,118
13,255,118
17,388,118
24,638,118
7,129,118
13,220,118
18,384,118
25,536,118
9,156,118
14,254,118
18,413,118
24,529,118
10,125,118
15,204,118
20,370,118
26,561,118
7,152,118
13,234,118
17,458,118
25,651,118
7,140,118
14,269,118
17,473,118
25,698,118
9,192,118
14,311,118
18,470,118
24,587,118
8,141,118
14,267,118
18,438,118
25,669,118
8,160,118
14,333,118
18,511,118
25,698,118
7,120,118
13,216,118
17,359,118
25,606,118
8,135,118
15,315,118
20,505,118
26,721,118
11,241,118
15,382,118
20,573,118
26,792,118
10,172,118
14,228,118
19,436,118
26,682,118
7,131,118
12,195,118
17,370,118
24,555,118
7,104,118
13,214,118
17,368,118
25,559,118
7,143,118
14,312,118
17,427,118
25,613,118
9,204,118
14,334,118
20,593,118
25,743,118
9,135,118
14,275,118
17,436,118
25,626,118
9,168,118
14,328,118
19,544,118
25,799,118
7,143,118
12,254,118
18,431,118
25,647,118
9,177,118
14,293,118
18,481,118
25,723,118
8,161,118
15,340,118
19,562,118
26,840,118
5,71,100
12,201,100
18,399,100
26,626,100
7,115,110
12,212,110
17,395,110
26,603,110
26,796,110
7,107,111
13,176,111
18,355,111
23,531,111
7,71,111
13,152,111
17,370,111
25,575,111
10,204,111
15,378,111
21,631,111
28,1081,111
26,923,111
9,186,111
15,305,111
19,445,111
26,706,111
25,555,111
8,136,111
14,256,111
19,553,111
26,730,111
8,140,111
14,269,111
17,398,111
25,620,111
8,178,111
13,280,111
17,446,111
24,622,111
8,194,111
15,399,111
17,541,111
26,780,111
8,122,111
13,297,111
18,493,111
25,725,111
7,128,111
12,202,111
19,583,111
26,823,111
8,177,111
12,263,111
20,618,111
25,823,111
7,136,111
14,282,111
18,479,111
25,744,111
7,128,111
13,258,111
18,499,111
25,732,111
7,137,111
14,255,111
19,478,111
26,722,111
7,120,111
12,214,111
18,450,111
25,662,111
9,157,111
14,287,111
18,435,111
25,675,111
10,198,111
14,254,111
19,473,111
25,696,111
7,126,111
15,303,111
19,498,111
26,785,111
7,132,111
14,265,111
18,464,111
25,729,111
8,174,111
13,275,111
17,462,111
25,746,111
10,168,111
14,245,111
18,397,111
25,605,111
8,129,111
13,242,111
17,375,111
26,657,111
10,183,111
14,350,111
19,566,111
26,852,111
8,125,111
13,218,111
19,425,111
26,655,111
9,179,111
15,313,111
19,503,111
26,821,111
9,188,111
15,304,111
20,554,111
27,1034,111
29,1087,111
7,107,111
12,200,111
17,365,111
24,523,111
7,99,98
13,224,98
16,315,98
24,547,98
26,706,98
6,112,98
13,240,98
16,370,98
25,574,98
26,767,98
6,77,98
12,160,98
